"code","id","account_type","chart_template_id/id","name","note","reconcile"
"010","ba_fbih_010","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Kapitalizirana ulaganja u razvoj",,
"011","ba_fbih_011","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Koncesije, patenti, licence, zaštitni znakovi i druga prava",,
"012","ba_fbih_012","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Goodwill",,
"013","ba_fbih_013","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ulaganja na tuđim stalnim sredstvima",,
"014","ba_fbih_014","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ostala nematerijalna sredstva",,
"015","ba_fbih_015","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Nematerijalna sredstva u pripremi",,
"017","ba_fbih_017","asset_prepayments","l10n_ba.l10n_ba_fbih_chart_template","Avansi za nematerijalna sredstva",,
"020","ba_fbih_020","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Zemljište",,
"021","ba_fbih_021","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Građevinski objekti",,
"022","ba_fbih_022","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Postrojenja i oprema (mašine)",,
"023","ba_fbih_023","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Alati, pogonski i kancelarijski namještaj",,
"024","ba_fbih_024","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Transportna sredstva",,
"025","ba_fbih_025","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Nekretnine, postrojenja i oprema u pripremi",,
"026","ba_fbih_026","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Stambene zgrade i stanovi",,
"027","ba_fbih_027","asset_prepayments","l10n_ba.l10n_ba_fbih_chart_template","Avansi za nekretnine, postrojenja i opremu",,
"030","ba_fbih_030","asset_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ulaganja u vlastito zemljište",,
